2025-06-15 19:25:42,332 - INFO - Experiment started. Params: {'config': 'F:\\zyp\\Thesis source code\\mmaction2\\projects\\seasonal_pseudo_change\\configs/downstream_videoswin/swin_tiny_raw.py', 'checkpoint': 'F:/zyp/Thesis source code/mmaction2/projects/seasonal_pseudo_change/pretrained/videoswin/swin_tiny_patch244_window877_kinetics400_1k_state_dict.pth', 'train_csv': 'F:/zyp/Thesis source code/mmaction2/projects/seasonal_pseudo_change/datasets/splits/train.csv', 'unlabeled_csv': 'F:/zyp/Thesis source code/mmaction2/projects/seasonal_pseudo_change/datasets/splits/unlabeled.txt', 'rawframes_dir': 'F:/zyp/Thesis source code/mmaction2/projects/seasonal_pseudo_change/datasets/rawframes', 'clip_len': 8, 'bs': 4, 'unlab_mult': 1, 'lr': 0.001, 'tau': 0.95, 'lambda_u': 1.0, 'epochs': 50, 'save_dir': 'F:\\zyp\\Thesis source code\\mmaction2\\projects\\seasonal_pseudo_change\\work_dirs\\swin_tiny_raw_20250615_192542', 'ema_decay': 0.99, 'val_csv': 'F:/zyp/Thesis source code/mmaction2/projects/seasonal_pseudo_change/datasets/splits/val.txt'}
2025-06-15 21:26:30,394 - INFO - [Epoch 22] TrainLoss: -0.0141 | SupLoss: -0.0198 | ConsisLoss: 0.0057 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6835 | LR: 1.00e-03
2025-06-15 21:31:50,270 - INFO - [Epoch 23] TrainLoss: -0.0156 | SupLoss: -0.0208 | ConsisLoss: 0.0052 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6850 | LR: 1.00e-03
2025-06-15 21:37:25,116 - INFO - [Epoch 24] TrainLoss: -0.0157 | SupLoss: -0.0217 | ConsisLoss: 0.0060 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6862 | LR: 1.00e-03
2025-06-15 21:42:49,921 - INFO - [Epoch 25] TrainLoss: -0.0165 | SupLoss: -0.0227 | ConsisLoss: 0.0062 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6864 | LR: 1.00e-03
2025-06-15 21:48:21,438 - INFO - [Epoch 26] TrainLoss: -0.0184 | SupLoss: -0.0237 | ConsisLoss: 0.0053 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6866 | LR: 1.00e-03
2025-06-15 21:53:40,785 - INFO - [Epoch 27] TrainLoss: -0.0183 | SupLoss: -0.0246 | ConsisLoss: 0.0063 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6868 | LR: 1.00e-03
2025-06-15 21:58:55,586 - INFO - [Epoch 28] TrainLoss: -0.0209 | SupLoss: -0.0256 | ConsisLoss: 0.0047 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6866 | LR: 1.00e-03
2025-06-15 22:04:28,314 - INFO - [Epoch 29] TrainLoss: -0.0223 | SupLoss: -0.0265 | ConsisLoss: 0.0043 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6869 | LR: 1.00e-03
2025-06-15 22:09:56,680 - INFO - [Epoch 30] TrainLoss: -0.0225 | SupLoss: -0.0275 | ConsisLoss: 0.0050 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6861 | LR: 1.00e-03
2025-06-15 22:15:12,872 - INFO - [Epoch 31] TrainLoss: -0.0240 | SupLoss: -0.0284 | ConsisLoss: 0.0044 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6857 | LR: 1.00e-03
2025-06-15 22:20:46,856 - INFO - [Epoch 32] TrainLoss: -0.0255 | SupLoss: -0.0294 | ConsisLoss: 0.0039 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6855 | LR: 1.00e-03
2025-06-15 22:25:54,086 - INFO - [Epoch 33] TrainLoss: -0.0266 | SupLoss: -0.0303 | ConsisLoss: 0.0037 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6847 | LR: 1.00e-03
2025-06-15 22:31:12,844 - INFO - [Epoch 34] TrainLoss: -0.0276 | SupLoss: -0.0313 | ConsisLoss: 0.0037 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6846 | LR: 1.00e-03
2025-06-15 22:36:41,613 - INFO - [Epoch 35] TrainLoss: -0.0277 | SupLoss: -0.0323 | ConsisLoss: 0.0045 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6852 | LR: 1.00e-03
2025-06-15 22:42:12,302 - INFO - [Epoch 36] TrainLoss: -0.0285 | SupLoss: -0.0332 | ConsisLoss: 0.0047 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6863 | LR: 1.00e-03
2025-06-15 22:47:41,312 - INFO - [Epoch 37] TrainLoss: -0.0303 | SupLoss: -0.0342 | ConsisLoss: 0.0039 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6858 | LR: 1.00e-03
2025-06-15 22:53:15,883 - INFO - [Epoch 38] TrainLoss: -0.0309 | SupLoss: -0.0351 | ConsisLoss: 0.0043 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6847 | LR: 1.00e-03
2025-06-15 22:58:40,729 - INFO - [Epoch 39] TrainLoss: -0.0323 | SupLoss: -0.0361 | ConsisLoss: 0.0038 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6846 | LR: 1.00e-03
2025-06-15 23:04:09,191 - INFO - [Epoch 40] TrainLoss: -0.0334 | SupLoss: -0.0370 | ConsisLoss: 0.0037 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6838 | LR: 1.00e-03
2025-06-15 23:09:51,783 - INFO - [Epoch 41] TrainLoss: -0.0341 | SupLoss: -0.0380 | ConsisLoss: 0.0039 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6832 | LR: 1.00e-03
2025-06-15 23:15:15,448 - INFO - [Epoch 42] TrainLoss: -0.0349 | SupLoss: -0.0389 | ConsisLoss: 0.0041 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6824 | LR: 1.00e-03
2025-06-15 23:20:56,389 - INFO - [Epoch 43] TrainLoss: -0.0360 | SupLoss: -0.0399 | ConsisLoss: 0.0039 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6826 | LR: 1.00e-03
2025-06-15 23:26:08,797 - INFO - [Epoch 44] TrainLoss: -0.0380 | SupLoss: -0.0408 | ConsisLoss: 0.0029 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6835 | LR: 1.00e-03
2025-06-15 23:31:34,032 - INFO - [Epoch 45] TrainLoss: -0.0387 | SupLoss: -0.0418 | ConsisLoss: 0.0031 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6831 | LR: 1.00e-03
2025-06-15 23:36:56,080 - INFO - [Epoch 46] TrainLoss: -0.0389 | SupLoss: -0.0428 | ConsisLoss: 0.0038 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6831 | LR: 1.00e-03
2025-06-15 23:42:25,999 - INFO - [Epoch 47] TrainLoss: -0.0408 | SupLoss: -0.0437 | ConsisLoss: 0.0029 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6834 | LR: 1.00e-03
2025-06-15 23:48:00,437 - INFO - [Epoch 48] TrainLoss: -0.0416 | SupLoss: -0.0447 | ConsisLoss: 0.0031 | TrainAcc: 0.0000 | ValAcc: 0.0000 | ValLoss: 6.6833 | LR: 1.00e-03
